,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,3,0,0,0,0,5,0,0,0,0,0,0.0,0,0,0,0,45,False,0
1,1,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,2,0,0,0,0,6,0,147,0,1,0,0.0,0,77,99,22,45,True,0
2,2,0,0,2,0,0.0,718,0.0,0.0,0.0,0.0,64,0,0,0.0,0.0,2023-10-02T19:00:00Z,1,10,0,0,0,0,7,0,318,0,2,0,0.0,1,100,160,60,45,False,0
3,3,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,6,0,0,0,0,8,0,497,0,4,1,0.0,0,89,180,91,45,False,0
4,4,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,576,0,2,2,0.0,0,24,102,78,45,True,0
5,5,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,4,0,0,0,0,10,0,651,0,2,0,0.0,0,45,146,101,45,True,0
6,6,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2023-11-06T20:00:00Z,0,18,0,0,0,0,11,0,733,0,4,1,0.0,0,43,128,85,45,False,0
7,7,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,13,0,0,0,0,12,0,720,0,4,4,0.0,0,-26,48,74,45,True,0
8,8,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,15,0,0,0,0,13,0,771,0,1,4,0.0,0,34,106,72,45,False,0
9,9,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,5,0,0,0,0,14,0,789,0,2,3,0.0,0,0,67,67,45,True,0
10,10,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,150,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,14,0,0,0,0,15,0,812,0,1,2,0.0,0,6,40,34,45,False,0
11,11,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,154,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,9,0,0,0,0,16,0,830,0,0,2,0.0,0,-7,51,58,45,False,0
12,12,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,846,0,0,2,0.0,0,-26,42,68,45,True,0
13,13,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,820,0,1,2,0.0,0,-43,24,67,45,False,0
14,14,0,0,0,0,0.0,718,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,8,0,0,0,0,19,0,858,0,1,2,0.0,0,7,33,26,45,True,0
15,15,0,0,0,0,0.0,277,0.0,0.0,0.0,0.0,193,0,0,0.0,0.0,2023-12-31T14:00:00Z,0,1,0,0,0,0,20,0,20511,0,1,2,0.0,0,-338,0,338,40,True,0
16,16,0,0,0,0,0.0,277,0.0,0.0,0.0,0.0,182,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,3,0,0,0,0,19,0,20850,0,0,3,0.0,0,-224,0,224,40,False,0
17,17,0,0,0,0,0.0,277,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,6,0,0,0,0,18,0,21038,0,2,0,0.0,0,-352,0,352,40,True,0
18,18,0,0,0,0,0.0,277,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,21381,0,0,3,0.0,0,-541,0,541,40,False,0
19,19,0,0,0,0,0.0,277,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,19,0,0,0,0,16,0,21966,0,0,5,0.0,0,-356,0,356,40,True,0
20,20,0,0,0,0,0.0,277,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,16,0,0,0,0,15,0,22321,0,0,5,0.0,0,-318,0,318,40,True,0
