,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,3,0,0.1,618,0.0,0.0,0.0,0.7,59,0,0,0.0,0.0,2022-09-03T14:00:00Z,5,18,0,0,0,0,6,0,829,0,1,2,0.0,1,554,640,86,55,False,0
1,1,1,0,0,3,0,0.5,618,0.0,0.0,0.0,0.0,78,0,0,0.1,0.0,2022-09-16T19:00:00Z,1,16,0,0,0,0,8,0,3158,0,3,2,0.0,1,159,474,315,55,False,0
2,2,2,0,0,2,0,12.9,618,0.09,0.09,0.0,1.71,84,2,0,1.9,2.0,2022-10-01T14:00:00Z,53,15,0,0,0,0,9,0,4142,0,4,1,4.0,1,423,1025,602,55,True,0
3,3,3,0,0,-2,0,11.8,618,0.0,0.14,0.14,3.04,100,3,0,3.9,0.0,2022-10-09T13:00:00Z,90,19,0,0,0,0,10,0,4951,1,1,3,30.0,1,401,1188,787,55,False,1
4,4,4,0,0,5,0,0.1,618,0.0,0.0,0.0,0.0,103,0,0,0.2,0.0,2022-10-15T14:00:00Z,3,3,0,0,0,0,11,0,6585,0,2,2,2.0,1,1268,2072,804,55,True,0
5,5,5,0,0,2,0,0.0,618,0.0,0.0,0.0,0.12,116,0,0,0.0,0.0,2022-10-20T18:30:00Z,5,2,0,0,0,0,12,0,5902,0,0,3,0.0,1,-876,433,1309,55,True,0
6,6,6,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,124,0,0,0.0,0.0,2022-10-23T13:00:00Z,1,11,0,0,0,0,13,0,5746,0,3,2,0.0,1,-326,342,668,55,False,0
7,7,7,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2022-10-29T16:30:00Z,0,8,0,0,0,0,14,0,5813,0,0,0,0.0,0,-190,501,691,55,True,0
8,8,8,0,0,3,0,4.5,618,0.17,0.17,0.0,1.12,145,1,0,0.6,1.4,2022-11-05T15:00:00Z,75,13,0,0,0,0,15,0,6425,1,1,2,0.0,2,334,1054,720,55,False,0
9,9,9,0,0,4,0,10.9,618,0.01,0.21,0.2,2.59,153,2,0,9.5,10.2,2022-11-13T16:30:00Z,90,14,0,0,0,0,16,0,8262,1,2,1,74.0,2,1464,2412,948,55,True,0
10,10,10,0,0,3,0,0.0,618,0.0,0.0,0.0,0.14,165,0,0,0.2,0.0,2022-12-26T15:00:00Z,5,7,0,0,0,0,17,0,12857,0,3,0,2.0,1,3750,7153,3403,55,False,0
11,11,11,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,17,0,0,0,0,18,0,12072,0,1,2,0.0,0,-992,931,1923,55,True,0
12,12,12,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,188,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,10,0,0,0,0,19,0,12064,0,1,0,0.0,0,-208,1239,1447,55,False,0
13,13,13,0,3,31,0,11.3,618,0.03,0.65,0.62,2.13,64,1,1,10.9,41.4,2023-01-12T20:00:00Z,90,6,0,0,0,0,19,0,12064,1,1,2,56.0,9,-208,1239,1447,55,True,0
14,14,14,0,0,3,0,0.0,618,0.0,0.0,0.0,0.0,197,0,0,0.0,0.0,2023-01-15T14:00:00Z,1,15,0,0,0,0,20,0,13961,0,0,1,0.0,1,1394,3192,1798,54,False,0
15,15,15,0,0,3,0,1.5,618,0.01,0.01,0.0,0.0,204,0,0,0.4,0.0,2023-01-23T20:15:00Z,3,18,0,0,0,0,21,0,15602,0,1,0,2.0,1,1259,3027,1768,54,True,0
16,16,16,0,0,3,0,0.0,618,0.0,0.0,0.0,0.15,214,0,0,0.0,0.0,2023-02-03T20:00:00Z,1,6,0,0,0,0,22,0,16502,0,0,0,0.0,1,341,2676,2335,54,False,0
17,17,17,0,0,3,0,0.5,618,0.0,0.0,0.0,0.0,224,0,0,0.1,0.2,2023-02-11T15:00:00Z,6,16,0,0,0,0,23,0,16972,0,0,2,0.0,1,175,1820,1645,54,True,0
18,18,18,1,0,5,0,10.2,618,0.0,0.0,0.0,0.68,233,0,0,2.8,13.4,2023-02-18T15:00:00Z,28,5,0,0,0,0,24,0,16672,0,1,0,4.0,3,-488,1064,1552,54,False,1
19,19,19,0,0,0,0,2.4,618,0.02,0.27,0.25,0.8,244,1,0,5.3,8.6,2023-02-24T20:00:00Z,90,20,0,0,0,0,25,0,24196,1,1,1,42.0,2,4925,6875,1950,54,True,0
20,20,20,0,2,26,0,1.3,618,0.0,0.18,0.18,0.35,253,1,1,5.1,32.2,2023-03-06T20:00:00Z,7,4,0,0,0,0,26,0,20438,0,2,3,17.0,7,-1668,1450,3118,54,False,0
21,21,21,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,264,0,0,0.0,0.0,2023-03-12T14:00:00Z,0,1,0,0,0,0,27,0,21644,0,3,0,0.0,0,841,3180,2339,54,True,0
22,22,22,0,0,3,0,5.8,618,0.04,0.18,0.14,2.32,282,2,0,1.3,0.0,2023-04-01T14:00:00Z,90,3,0,0,0,0,29,0,25871,1,1,2,12.0,2,4949,6960,2011,54,False,0
23,23,23,0,0,5,0,14.1,618,0.27,0.31,0.04,1.09,293,1,0,2.9,0.0,2023-04-08T14:00:00Z,90,19,0,0,0,0,30,0,27451,1,1,0,15.0,1,1533,5077,3544,54,True,1
24,24,24,0,0,3,0,4.5,618,0.01,0.01,0.0,0.03,303,0,0,0.7,2.0,2023-04-15T14:00:00Z,1,8,0,0,0,0,31,0,28243,0,3,1,0.0,1,594,3938,3344,54,False,0
25,25,25,0,0,2,0,0.1,618,0.0,0.0,0.0,0.04,316,0,0,0.0,0.2,2023-04-22T11:30:00Z,8,11,0,0,0,0,32,0,28150,0,1,2,0.0,1,-556,3134,3690,54,True,0
26,26,26,0,0,1,0,0.1,618,0.0,0.0,0.0,0.26,321,0,0,0.0,0.0,2023-04-25T18:45:00Z,23,2,0,0,0,0,33,0,26556,0,0,1,0.0,1,-1392,2187,3579,54,False,0
27,27,27,0,2,26,0,0.6,618,0.01,0.08,0.07,2.59,336,2,1,6.8,38.4,2023-04-30T13:00:00Z,90,13,0,0,0,0,34,0,30508,1,2,1,29.0,8,1582,4893,3311,54,True,0
28,28,28,0,0,4,0,1.7,618,0.01,0.19,0.18,1.64,276,1,0,5.1,11.6,2023-05-03T19:00:00Z,78,12,0,0,0,0,34,0,30508,1,0,1,38.0,2,1582,4893,3311,54,False,0
29,29,29,1,0,32,0,12.1,618,0.02,0.36,0.34,2.84,343,3,1,7.3,47.8,2023-05-08T14:00:00Z,90,10,0,0,0,0,35,0,35147,1,3,5,13.0,9,6263,8560,2297,54,True,0
30,30,30,0,3,32,1,11.3,618,0.01,0.89,0.88,0.17,360,0,1,7.6,34.6,2023-05-13T14:00:00Z,64,17,0,0,0,0,36,0,46612,1,2,0,30.0,9,10795,14923,4128,54,False,0
31,31,31,0,0,0,0,0.0,618,0.0,0.0,0.0,0.0,363,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,7,0,0,0,0,37,0,68515,0,2,2,0.0,0,19469,24481,5012,54,True,0
32,32,32,0,0,1,0,0.0,618,0.02,0.02,0.0,0.29,379,0,0,0.0,0.0,2023-05-28T15:30:00Z,10,14,0,0,0,0,38,0,55022,0,1,2,0.0,1,-10427,2733,13160,54,False,0
33,33,33,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,9,0,0,0,0,1,0,366547,0,1,0,0.0,0,0,0,0,50,False,0
34,34,34,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,4,0,0,0,0,2,0,325260,0,3,0,0.0,0,-53787,9005,62792,50,True,0
35,35,35,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,1,0,0,0,0,3,0,263176,0,2,2,0.0,0,-66120,4398,70518,49,False,0
36,36,36,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,13,0,0,0,0,4,0,225413,0,1,5,0.0,0,-40098,2548,42646,49,False,0
37,37,37,0,2,28,0,1.8,287,0.01,0.33,0.32,0.42,44,0,1,7.1,34.2,2023-09-16T14:00:00Z,28,12,0,0,0,0,5,0,199763,0,0,1,35.0,7,-29721,6578,36299,48,True,0
38,38,38,0,0,2,0,1.1,287,0.0,0.0,0.0,0.06,56,0,0,0.1,0.0,2023-09-23T14:00:00Z,11,8,0,0,0,0,6,0,202473,0,0,0,0.0,1,-231,14759,14990,48,False,0
39,39,39,0,0,0,0,11.3,287,0.01,0.25,0.24,0.56,64,0,0,3.8,0.0,2023-10-02T19:00:00Z,37,7,0,0,0,0,7,0,197108,0,2,0,27.0,1,-6356,12833,19189,48,True,0
40,40,40,0,0,8,0,32.5,287,0.04,0.08,0.04,0.55,76,1,0,5.9,9.2,2023-10-07T14:00:00Z,77,17,0,0,0,0,8,0,196661,1,1,3,17.0,2,-2484,17082,19566,48,True,0
41,41,41,0,0,1,0,0.0,287,0.0,0.07,0.07,0.83,90,1,0,0.4,0.2,2023-10-23T19:00:00Z,45,18,0,0,0,0,9,0,190760,1,0,2,4.0,1,-6364,8791,15155,48,False,0
42,42,42,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,5,0,0,0,0,10,0,184817,0,1,1,0.0,0,-6617,6920,13537,48,False,0
43,43,43,0,0,5,0,0.2,287,0.0,0.0,0.0,0.36,104,1,0,0.3,3.0,2023-11-04T12:30:00Z,14,14,0,0,0,0,11,0,177552,0,1,0,0.0,1,-7766,5574,13340,48,True,0
44,44,44,0,0,-2,0,2.3,287,0.0,0.0,0.0,0.96,112,0,0,0.1,0.0,2023-11-12T14:00:00Z,16,2,0,0,0,0,12,0,171466,0,1,3,0.0,0,-6604,4207,10811,47,False,1
45,45,45,0,0,-1,0,0.3,287,0.0,0.0,0.0,0.14,124,0,0,0.0,0.0,2023-11-27T20:00:00Z,14,20,0,0,0,0,13,0,165650,0,2,3,0.0,0,-6303,3991,10294,47,True,1
46,46,46,0,0,2,0,0.0,287,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2023-12-03T14:00:00Z,1,11,0,0,0,0,14,0,160950,0,3,4,0.0,1,-5463,2514,7977,47,False,0
47,47,47,0,0,3,0,0.0,287,0.0,0.0,0.0,0.07,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,11,16,0,0,0,0,15,0,158503,0,0,5,0.0,1,-2827,2540,5367,47,True,0
48,48,48,0,0,27,0,0.5,287,0.0,0.8,0.8,0.36,155,0,1,5.1,33.4,2023-12-10T14:00:00Z,18,19,0,0,0,0,16,0,154714,0,0,5,17.0,5,-3994,1905,5899,47,True,0
49,49,49,0,0,0,0,0.0,287,0.0,0.0,0.0,0.0,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,153090,0,0,3,0.0,0,-2088,4768,6856,47,False,0
50,50,50,0,0,1,0,10.8,287,0.04,0.16,0.12,0.13,173,1,0,5.3,3.6,2023-12-23T15:00:00Z,26,6,0,0,0,0,18,0,168094,0,2,0,39.0,1,12197,18926,6729,47,True,0
51,51,51,0,0,3,0,0.5,287,0.01,0.01,0.0,0.06,182,1,0,0.1,0.0,2023-12-26T15:00:00Z,8,3,0,0,0,0,19,0,157847,0,0,3,0.0,1,-8221,2974,11195,47,False,0
52,52,52,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,17,0,0,0,0,20,0,296912,0,0,2,0.0,0,-13328,1938,15266,53,True,0
53,53,53,0,0,8,0,1.8,368,0.01,0.01,0.0,0.71,187,1,0,0.4,2.0,2023-12-27T20:15:00Z,42,9,0,0,0,0,19,0,310180,1,3,1,0.0,1,3170,5765,2595,53,False,0
54,54,54,0,0,3,0,0.0,368,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,1,8,0,0,0,0,17,0,311984,0,2,2,0.0,1,2038,6521,4483,53,True,0
55,55,55,0,0,3,0,0.0,368,0.0,0.0,0.0,0.03,156,0,0,0.2,2.2,2023-12-10T14:00:00Z,21,12,0,0,0,0,16,0,308244,0,2,1,0.0,1,6848,9541,2693,53,False,0
56,56,56,0,0,10,0,3.5,368,0.01,0.01,0.0,2.04,141,1,0,2.6,20.4,2023-12-06T20:15:00Z,90,2,0,0,0,0,15,0,300065,1,0,1,2.0,1,-1627,2159,3786,53,False,1
57,57,57,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,137,0,0,0.0,0.0,2023-12-03T16:30:00Z,0,18,0,0,0,0,14,0,301126,0,3,3,0.0,0,255,3974,3719,53,True,0
58,58,58,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2023-11-25T12:30:00Z,0,11,0,0,0,0,13,0,298317,0,1,1,0.0,0,-32882,306,33188,53,True,0
59,59,59,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,7,0,0,0,0,12,0,331058,0,4,4,0.0,0,-23357,11290,34647,53,False,0
60,60,60,0,0,26,1,1.8,368,0.01,0.01,0.0,0.31,106,0,0,1.1,8.8,2023-11-04T15:00:00Z,70,3,0,0,0,0,11,0,355755,1,1,6,0.0,6,23270,27726,4456,53,True,0
61,61,61,0,0,27,1,35.4,368,0.04,0.04,0.0,1.03,98,0,0,5.6,16.4,2023-10-29T15:30:00Z,90,14,0,0,0,0,10,0,328145,1,3,0,4.0,6,2971,10253,7282,53,False,0
62,62,62,0,0,14,0,6.4,368,0.01,0.01,0.0,0.83,86,1,0,1.1,3.0,2023-10-21T14:00:00Z,74,5,0,0,0,0,9,0,323289,1,1,2,2.0,2,3070,10125,7055,53,True,0
63,63,63,0,0,3,0,0.4,368,0.0,0.0,0.0,0.06,71,1,0,0.1,0.6,2023-10-08T15:30:00Z,22,1,0,0,0,0,8,0,316461,0,0,1,0.0,1,-22365,2442,24807,53,False,0
64,64,64,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,70,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,20,0,0,0,0,7,0,336939,0,1,2,0.0,0,-57779,284,58063,53,False,0
65,65,65,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,16,0,0,0,0,6,0,395307,0,0,2,0.0,0,-63242,420,63662,53,True,0
66,66,66,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,19,0,0,0,0,5,0,456963,0,3,1,0.0,0,-82731,1943,84674,53,False,0
67,67,67,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,10,0,0,0,0,4,0,534020,0,1,5,0.0,0,-192331,804,193135,53,True,0
68,68,68,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,17,0,0,0,0,3,0,715882,0,2,1,0.0,0,-805451,1349,806800,53,False,0
69,69,69,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,15,0,0,0,0,2,0,1505031,0,0,1,0.0,0,-857450,17301,874751,54,True,0
