,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,22,1,11.6,724,0.01,0.03,0.02,0.67,214,0,0,4.4,31.2,2023-02-03T20:00:00Z,90,9,0,0,0,0,22,0,29803,1,0,0,1.0,3,28047,30077,2030,50,True,0,3
1,1,1,1,1,21,0,19.6,724,0.38,0.46,0.08,1.29,230,1,0,5.8,34.0,2023-02-11T12:30:00Z,90,19,0,0,0,0,23,0,71989,1,1,1,4.0,6,40254,44413,4159,50,False,0,3
2,2,2,0,0,14,0,2.1,724,0.08,0.08,0.0,0.83,234,1,0,2.0,16.0,2023-02-18T15:00:00Z,90,17,0,0,0,0,24,0,144364,1,1,0,2.0,2,70019,75285,5266,50,True,0,3
3,3,3,0,0,15,0,24.3,724,0.11,0.21,0.1,0.71,249,2,0,5.0,22.0,2023-02-26T13:30:00Z,90,18,0,0,0,0,25,0,142216,1,0,2,4.0,2,-760,20056,20816,50,False,0,3
4,4,4,0,0,9,1,6.3,724,0.05,0.18,0.13,0.51,255,0,0,2.3,7.2,2023-03-04T15:00:00Z,83,11,0,0,0,0,26,0,134793,1,0,1,9.0,3,-10160,10443,20603,50,True,0,3
5,5,5,1,0,23,0,16.7,724,0.43,0.43,0.0,2.35,266,1,0,5.2,35.0,2023-03-11T15:00:00Z,90,10,0,0,0,0,27,0,118171,1,3,1,0.0,5,-17274,8891,26165,50,False,0,3
6,6,6,0,0,15,0,26.0,724,0.08,0.22,0.14,1.43,275,2,0,6.1,20.6,2023-03-18T17:30:00Z,90,8,0,0,0,0,28,0,208991,1,2,2,14.0,2,71452,79761,8309,50,True,0,3
7,7,7,0,0,17,0,60.3,724,0.18,0.23,0.05,0.81,284,2,0,8.5,18.8,2023-04-01T16:30:00Z,90,2,0,0,0,0,29,0,186389,1,2,0,6.0,1,-5258,17666,22924,50,True,1,3
8,8,8,0,0,15,1,2.8,724,0.02,0.05,0.03,0.35,74,0,0,1.4,10.0,2023-04-04T19:00:00Z,90,12,0,0,0,0,29,0,186389,1,0,0,1.0,3,-5258,17666,22924,50,True,0,3
9,9,9,0,0,15,0,6.3,724,0.04,0.04,0.0,0.56,300,1,0,2.5,19.0,2023-04-08T14:00:00Z,90,20,0,0,0,0,30,0,166625,1,0,1,0.0,2,-21065,5772,26837,50,False,0,3
10,10,10,0,0,2,0,0.5,724,0.01,0.01,0.0,1.78,302,1,0,0.2,1.4,2023-04-15T14:00:00Z,56,5,0,0,0,0,31,0,151346,1,2,1,0.0,1,-16012,5598,21610,50,True,0,3
11,11,11,0,0,17,0,37.1,724,0.07,0.12,0.05,0.85,328,2,0,7.7,23.0,2023-04-26T18:45:00Z,78,4,0,0,0,0,33,0,112706,1,2,0,17.0,2,-8709,1410,10119,50,True,0,3
12,12,12,0,0,11,0,8.3,724,0.03,0.04,0.01,1.96,331,3,0,1.5,4.4,2023-05-02T19:00:00Z,70,1,0,0,0,0,34,0,99223,1,1,3,2.0,2,-12924,1138,14062,50,False,0,3
13,13,13,0,0,16,0,6.1,724,0.05,0.11,0.06,1.26,341,1,0,1.9,9.8,2023-05-06T14:00:00Z,90,3,0,0,0,0,35,0,94807,1,3,1,3.0,2,-5809,3315,9124,50,False,0,3
14,14,14,0,0,10,0,33.6,724,0.4,0.45,0.05,1.63,354,2,0,4.9,14.8,2023-05-13T14:00:00Z,90,16,0,0,0,0,36,0,92697,1,2,2,1.0,2,-2471,3533,6004,50,True,0,3
15,15,15,0,0,8,0,15.5,724,0.24,0.24,0.0,1.09,365,1,0,2.4,8.6,2023-05-21T15:00:00Z,90,13,0,0,0,0,37,0,97878,1,0,1,0.0,1,3792,8851,5059,50,False,1,3
16,16,16,0,0,20,0,30.2,724,0.39,0.39,0.0,5.13,319,4,0,5.3,22.4,2023-05-25T19:00:00Z,90,14,0,0,0,0,37,0,97878,1,1,4,0.0,1,3792,8851,5059,50,False,1,3
17,17,17,0,0,15,0,0.0,724,0.07,0.13,0.06,1.7,374,1,0,0.0,0.0,2023-05-28T15:30:00Z,90,15,0,0,0,0,38,0,94316,1,1,1,0.0,2,-2411,2211,4622,50,True,0,3
18,18,18,0,0,18,0,38.5,199,0.11,0.17,0.06,1.28,9,1,0,6.7,19.8,2023-08-13T15:30:00Z,90,11,0,0,0,0,1,0,292482,1,1,1,9.0,1,0,0,0,50,True,1,3
19,19,19,0,0,9,0,69.7,199,0.35,1.17,0.82,1.8,19,3,0,11.5,23.0,2023-08-20T15:30:00Z,90,19,0,1,0,0,2,0,428097,1,1,3,22.0,0,47125,75645,28520,50,False,0,3
20,20,20,0,0,1,1,38.5,199,0.29,0.55,0.26,0.43,26,0,0,5.4,0.0,2023-08-25T19:00:00Z,90,12,0,0,0,0,3,0,440229,1,0,3,18.0,2,-6685,54504,61189,50,True,1,3
21,21,21,0,0,14,0,46.6,199,0.53,0.75,0.22,0.71,35,1,0,8.1,22.8,2023-09-02T14:00:00Z,90,16,0,0,0,0,4,0,409718,1,1,0,12.0,2,-41206,27221,68427,50,True,0,3
22,22,22,0,0,10,1,7.3,199,0.03,0.05,0.02,1.1,42,0,0,2.5,8.6,2023-09-17T13:00:00Z,80,3,0,0,0,0,5,0,388045,1,0,0,9.0,3,-35053,23566,58619,50,False,0,3
23,23,23,0,0,6,1,3.7,199,0.01,0.22,0.21,0.32,55,0,0,1.8,7.8,2023-09-24T13:00:00Z,67,2,0,0,0,0,6,0,369150,1,1,0,6.0,3,-23298,13861,37159,50,True,0,3
24,24,24,0,0,14,1,14.9,199,0.13,0.51,0.38,1.08,64,0,0,5.6,21.2,2023-10-02T19:00:00Z,90,10,0,0,0,0,7,0,345863,1,2,0,20.0,3,-25493,13642,39135,49,False,0,3
25,25,25,0,0,11,0,11.9,199,0.06,0.14,0.08,0.75,73,1,0,5.5,18.2,2023-10-07T14:00:00Z,90,6,0,0,0,0,8,0,347715,1,4,1,25.0,1,-2732,24469,27201,49,False,1,3
26,26,26,0,0,10,0,17.3,199,0.02,0.11,0.09,1.06,84,2,0,4.4,14.4,2023-10-21T16:30:00Z,90,1,0,0,0,0,9,0,327189,1,2,2,12.0,2,-21894,9591,31485,49,True,0,3
27,27,27,0,0,0,0,0.0,199,0.0,0.0,0.0,0.0,95,0,0,0.0,0.0,2023-10-28T11:30:00Z,0,4,0,0,0,0,10,0,307938,0,2,0,0.0,0,-20395,6787,27182,49,True,0,3
28,28,28,1,0,12,0,11.5,199,0.01,0.05,0.04,0.23,110,1,0,2.5,9.2,2023-11-06T20:00:00Z,57,18,0,0,0,0,11,0,281304,1,4,1,4.0,4,-27238,3670,30908,48,False,0,3
29,29,29,0,0,13,0,1.3,199,0.01,0.03,0.02,2.77,115,3,0,1.0,6.4,2023-11-12T16:30:00Z,63,13,0,0,0,0,12,0,272028,1,4,4,2.0,2,-10281,3467,13748,48,True,0,3
30,30,30,0,0,12,0,6.6,199,0.19,0.26,0.07,2.28,127,4,0,3.7,13.0,2023-11-25T15:00:00Z,90,15,0,0,0,0,13,0,266135,1,1,4,17.0,2,-7194,5760,12954,48,False,0,3
31,31,31,0,3,44,0,2.0,199,0.02,1.37,1.35,1.02,135,2,2,13.2,71.8,2023-12-03T14:00:00Z,90,5,0,0,0,0,14,0,263089,1,2,3,58.0,14,-4093,4798,8891,48,True,1,3
32,32,32,0,0,7,0,2.2,199,0.01,0.62,0.61,4.07,150,2,0,2.6,7.6,2023-12-06T20:15:00Z,90,14,0,0,0,0,15,0,301961,1,1,2,16.0,2,36367,39862,3495,48,False,0,3
33,33,33,0,0,13,0,6.5,199,0.03,0.21,0.18,0.92,154,1,0,3.6,11.6,2023-12-10T14:00:00Z,65,9,0,0,0,0,16,0,308491,1,0,2,18.0,2,6584,17914,11330,48,False,0,3
34,34,34,0,0,3,0,3.0,199,0.01,0.01,0.0,0.22,165,0,0,0.4,0.6,2023-12-16T15:00:00Z,21,17,0,0,0,0,17,0,312067,0,0,2,0.0,1,2467,17121,14654,48,True,0,3
35,35,35,0,0,0,0,0.0,199,0.0,0.0,0.0,0.0,180,0,0,0.0,0.0,2023-12-24T13:00:00Z,0,20,0,0,0,0,18,0,286086,0,1,2,0.0,0,-24047,3112,27159,48,False,0,3
36,36,36,0,0,0,0,0.0,199,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,8,0,0,0,0,19,0,265994,0,1,2,0.0,0,-21916,757,22673,48,True,0,3
37,37,37,0,0,15,0,0.8,245,0.01,0.05,0.04,2.06,200,3,0,2.3,17.2,2023-12-30T15:00:00Z,90,20,0,0,0,0,20,0,348590,1,0,3,5.0,1,25385,37225,11840,41,False,0,3
38,38,38,0,0,12,0,0.2,245,0.0,0.0,0.0,2.6,187,3,0,1.5,14.6,2023-12-27T20:15:00Z,90,13,0,0,0,0,19,0,322568,1,3,1,0.0,0,22954,29297,6343,41,True,1,3
