,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,12650,0,1.0,0.0,0.0,0,0,0,0,40,False,0
1,1,1,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,1,0,0,0,0,2,0,12560,0,1.0,0.0,0.0,0,-1849,415,2264,40,True,0
2,2,2,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,4,0,0,0,0,3,0,9733,0,1.0,1.0,0.0,0,-2835,0,2835,40,False,0
3,3,3,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,20,0,0,0,0,4,0,8375,0,2.0,3.0,0.0,0,-1403,0,1403,40,True,0
4,4,4,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,41,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,2,0,0,0,0,5,0,7496,0,1.0,3.0,0.0,0,-919,0,919,40,False,0
5,5,5,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,10,0,0,0,0,6,0,7031,0,0.0,0.0,0.0,0,-483,0,483,40,True,0
6,6,6,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,14,0,0,0,0,7,0,6577,0,1.0,0.0,0.0,0,-444,0,444,40,False,0
7,7,7,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,16,0,0,0,0,8,0,6219,0,0.0,0.0,0.0,0,-354,0,354,40,True,0
8,8,8,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,5966,0,0.0,4.0,0.0,0,-282,0,282,40,False,0
9,9,9,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,18,0,0,0,0,10,0,5763,0,2.0,1.0,0.0,0,-201,0,201,40,True,0
10,10,10,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,6,0,0,0,0,11,0,5569,0,2.0,0.0,0.0,0,-195,0,195,40,False,0
11,11,11,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,9,0,0,0,0,12,0,5414,0,3.0,2.0,0.0,0,-151,0,151,40,True,0
12,12,12,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,12,0,0,0,0,13,0,5267,0,1.0,2.0,0.0,0,-144,0,144,40,False,0
13,13,13,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,19,0,0,0,0,14,0,5192,0,1.0,1.0,0.0,0,-84,0,84,40,False,0
14,14,14,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,143,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,3,0,0,0,0,15,0,5137,0,2.0,0.0,0.0,0,-64,0,64,40,True,0
15,15,15,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,11,0,0,0,0,16,0,5079,0,2.0,1.0,0.0,0,-52,0,52,40,True,0
16,16,16,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,13,0,0,0,0,17,0,4979,0,2.0,2.0,0.0,0,-96,0,96,40,False,0
17,17,17,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,4913,0,1.0,1.0,0.0,0,-74,0,74,40,True,0
18,18,18,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,7,0,0,0,0,19,0,4870,0,1.0,2.0,0.0,0,-45,0,45,40,False,0
19,19,19,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,226739,0,,,0.0,0,-2445,3036,5481,72,True,0
20,20,20,1,0,19,1,21.8,297,0.04,0.73,0.69,0.44,185,0,0,11.8,34.2,2023-12-26T17:30:00Z,66,6,0,0,0,0,19,0,228650,1,2.0,0.0,62.0,5,547,5113,4566,72,False,0
21,21,21,0,0,3,0,21.8,297,0.04,0.04,0.0,0.71,174,1,0,3.3,7.6,2023-12-23T17:30:00Z,67,1,0,0,0,0,18,0,227468,1,1.0,1.0,4.0,2,-1372,4043,5415,72,True,0
22,22,22,0,0,-1,0,12.2,297,0.07,0.39,0.32,0.36,166,0,0,2.9,0.0,2023-12-17T16:30:00Z,29,14,0,0,0,0,17,0,227945,0,0.0,0.0,18.0,1,-3273,4692,7965,72,True,0
23,23,23,0,0,0,0,2.6,297,0.03,0.03,0.0,1.21,153,1,0,1.0,3.8,2023-12-09T12:30:00Z,33,8,0,0,0,0,16,0,230243,0,2.0,1.0,4.0,1,-3555,3643,7198,72,False,0
24,24,24,0,0,10,1,13.2,297,0.03,0.03,0.0,0.25,147,0,0,3.0,7.0,2023-12-06T19:30:00Z,85,17,0,0,0,0,15,0,233340,1,2.0,0.0,10.0,2,-503,6196,6699,72,False,0
25,25,25,0,0,2,0,2.0,297,0.03,0.05,0.02,0.22,136,1,0,1.5,4.2,2023-12-03T14:00:00Z,26,10,0,0,0,0,14,0,233305,0,3.0,4.0,9.0,1,2340,9443,7103,72,True,0
26,26,26,0,0,2,0,0.2,297,0.0,0.0,0.0,0.64,126,0,0,0.3,2.4,2023-11-25T12:30:00Z,17,13,0,0,0,0,13,0,229805,0,1.0,1.0,0.0,1,-2350,6497,8847,72,False,0
27,27,27,0,0,13,1,5.0,297,0.04,0.09,0.05,1.5,117,0,0,2.5,6.4,2023-11-12T14:00:00Z,82,4,0,0,0,0,12,0,230637,1,0.0,3.0,14.0,2,-417,7438,7855,72,True,0
28,28,28,0,0,-1,0,0.6,297,0.03,0.63,0.6,0.45,105,1,0,1.1,0.0,2023-11-05T16:30:00Z,24,12,0,0,0,0,11,0,229481,0,1.0,1.0,12.0,1,-16,8901,8917,72,False,0
29,29,29,0,0,2,0,1.0,297,0.02,0.05,0.03,0.32,97,0,0,0.6,3.8,2023-10-29T14:00:00Z,32,16,0,0,0,0,10,0,228130,0,0.0,3.0,1.0,1,-7931,5664,13595,72,True,0
30,30,30,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,9,0,0,0,0,9,0,234620,0,0.0,2.0,0.0,0,-29427,1523,30950,72,True,0
31,31,31,0,0,0,0,0.0,297,0.0,0.0,0.0,0.0,72,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,5,0,0,0,0,8,0,262732,0,2.0,2.0,0.0,0,-38650,5997,44647,72,False,0
32,32,32,0,2,27,0,11.3,297,0.05,0.48,0.43,1.07,68,1,1,8.8,37.4,2023-09-30T16:30:00Z,45,18,0,0,0,0,7,0,300360,1,1.0,2.0,39.0,7,-29005,8555,37560,72,False,0
33,33,33,0,0,-1,0,0.6,297,0.0,0.24,0.24,0.02,57,0,0,3.0,3.4,2023-09-24T13:00:00Z,9,19,0,0,0,0,6,0,327609,0,1.0,3.0,26.0,1,-7622,16356,23978,73,True,0
34,34,34,0,1,24,0,1.7,297,0.01,1.09,1.08,0.4,50,1,1,7.8,31.6,2023-09-16T11:30:00Z,55,20,0,0,0,0,5,0,329301,1,3.0,1.0,45.0,6,-71400,10227,81627,73,False,0
35,35,35,0,0,1,0,0.3,297,0.01,0.01,0.0,0.08,37,0,0,0.3,0.0,2023-09-03T13:00:00Z,25,2,0,0,0,0,4,0,391910,0,0.0,3.0,4.0,1,-80836,7654,88490,74,True,0
36,36,36,0,0,2,0,10.6,297,0.0,0.0,0.0,1.25,29,1,0,1.9,4.6,2023-08-27T15:30:00Z,57,15,0,0,0,0,3,0,462761,1,2.0,1.0,4.0,1,-125154,19028,144182,74,False,0
37,37,37,0,0,10,0,11.8,297,0.04,0.28,0.24,0.19,14,1,0,2.8,5.6,2023-08-19T14:00:00Z,62,3,0,0,0,0,2,0,570407,1,1.0,3.0,11.0,2,-31755,47557,79312,75,True,0
