,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,30105,0,1,0,0.0,0,0,0,0,40,True,0,1
1,1,1,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,31612,0,1,2,0.0,0,-923,891,1814,40,False,0,1
2,2,2,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,13,0,0,0,0,3,0,29948,0,2,1,0.0,0,-1969,235,2204,40,True,0,1
3,3,3,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,28395,0,2,2,0.0,0,-1891,267,2158,40,True,0,1
4,4,4,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,48,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,18,0,0,0,0,5,0,27710,0,1,2,0.0,0,-1136,323,1459,40,False,0,1
5,5,5,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,60,0,0,0.0,0.0,2023-09-24T15:30:00Z,0,15,0,0,0,0,6,0,26740,0,8,0,0.0,0,-1016,135,1151,40,True,0,1
6,6,6,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,19,0,0,0,0,7,0,25821,0,0,2,0.0,0,-953,147,1100,40,False,0,1
7,7,7,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,76,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,10,0,0,0,0,8,0,36925,0,1,3,0.0,0,6716,8938,2222,39,False,0,1
8,8,8,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,38315,0,2,1,0.0,0,3050,4620,1570,39,True,0,1
9,9,9,0,0,0,0,0.0,472,0.0,0.0,0.0,0.0,91,0,0,0.0,0.0,2023-10-28T14:00:00Z,0,1,0,0,0,0,10,0,40218,0,0,5,0.0,0,2003,3422,1419,39,False,0,1
