,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0,0,0.0,656,169,0,0,0.0,0.0,2021-12-16T20:00:00Z,0,14,0,0,0,0,17,0,0,1.0,3.0,0.0,0,0,0,0,40,True,0,,,,,
1,1,1,0,0,0,0,0.0,656,177,0,0,0.0,0.0,2021-12-19T16:30:00Z,0,17,0,0,0,0,18,0,550,2.0,2.0,0.0,0,200,298,98,40,False,0,,,,,
2,2,2,0,0,0,0,0.0,656,197,0,0,0.0,0.0,2021-12-28T20:00:00Z,0,9,0,0,0,0,20,0,328,0.0,1.0,0.0,0,25,61,36,40,False,0,,,,,
3,3,3,0,0,0,0,0.0,656,203,0,0,0.0,0.0,2022-01-02T16:30:00Z,0,6,0,0,0,0,21,0,338,2.0,2.0,0.0,0,5,63,58,40,False,0,,,,,
4,4,4,0,0,0,0,0.0,656,214,0,0,0.0,0.0,2022-01-16T14:00:00Z,0,3,0,0,0,0,22,0,475,0.0,3.0,0.0,0,43,87,44,40,True,0,,,,,
5,5,5,0,0,0,0,0.0,656,224,0,0,0.0,0.0,2022-01-23T14:00:00Z,0,7,0,0,0,0,23,0,420,3.0,1.0,0.0,0,-7,36,43,40,False,0,,,,,
6,6,6,0,0,0,0,0.0,656,237,0,0,0.0,0.0,2022-02-10T19:45:00Z,0,9,0,0,0,0,24,0,456,0.0,2.0,0.0,0,5,32,27,40,True,0,,,,,
7,7,7,0,0,0,0,0.0,656,242,0,0,0.0,0.0,2022-02-13T14:00:00Z,0,5,0,0,0,0,25,0,468,1.0,0.0,0.0,0,1,23,22,40,False,0,,,,,
8,8,8,0,0,0,0,0.0,656,256,0,0,0.0,0.0,2022-02-19T15:00:00Z,0,15,0,0,0,0,26,0,461,1.0,3.0,0.0,0,-31,25,56,40,True,0,,,,,
9,9,9,0,0,0,0,0.0,656,184,0,0,0.0,0.0,2022-02-23T19:45:00Z,0,10,0,0,0,0,26,0,461,0.0,6.0,0.0,0,-31,25,56,40,True,0,,,,,
10,10,10,0,0,0,0,0.0,656,274,0,0,0.0,0.0,2022-03-05T17:30:00Z,0,19,0,0,0,0,28,0,551,0.0,1.0,0.0,0,15,53,38,40,True,0,,,,,
11,11,11,0,0,0,0,0.0,656,283,0,0,0.0,0.0,2022-03-12T12:30:00Z,0,4,0,0,0,0,29,0,555,2.0,0.0,0.0,0,-4,32,36,40,False,0,,,,,
12,12,12,0,0,0,0,0.0,656,261,0,0,0.0,0.0,2022-03-16T20:15:00Z,0,1,0,0,0,0,29,0,555,2.0,0.0,0.0,0,-4,32,36,40,False,0,,,,,
13,13,13,0,0,0,0,0.0,656,306,0,0,0.0,0.0,2022-04-02T11:30:00Z,0,18,0,0,0,0,31,0,627,0.0,2.0,0.0,0,30,60,30,40,True,0,,,,,
14,14,14,0,0,0,0,0.0,656,316,0,0,0.0,0.0,2022-04-10T15:30:00Z,0,12,0,0,0,0,32,0,665,2.0,2.0,0.0,0,26,60,34,40,False,0,,,,,
15,15,15,0,0,0,0,0.0,656,294,0,0,0.0,0.0,2022-04-19T19:00:00Z,0,13,0,0,0,0,33,0,660,0.0,4.0,0.0,0,-27,24,51,40,True,0,,,,,
16,16,16,0,0,0,0,0.0,656,338,0,0,0.0,0.0,2022-04-24T15:30:00Z,0,8,0,0,0,0,34,0,667,0.0,2.0,0.0,0,-17,25,42,40,True,0,,,,,
17,17,17,0,0,0,0,0.0,656,345,0,0,0.0,0.0,2022-04-30T11:30:00Z,0,14,0,0,0,0,35,0,729,1.0,0.0,0.0,0,35,52,17,40,False,0,,,,,
18,18,18,0,0,0,0,0.0,656,358,0,0,0.0,0.0,2022-05-07T18:45:00Z,0,17,0,0,0,0,36,0,739,1.0,1.0,0.0,0,-25,28,53,40,True,0,,,,,
19,19,19,0,0,0,0,0.0,656,321,0,0,0.0,0.0,2022-05-10T19:00:00Z,0,2,0,0,0,0,36,0,739,2.0,1.0,0.0,0,-25,28,53,40,False,0,,,,,
20,20,20,0,0,0,0,0.0,656,366,0,0,0.0,0.0,2022-05-17T18:45:00Z,0,16,0,0,0,0,37,0,823,2.0,1.0,0.0,0,29,46,17,40,False,0,,,,,
21,21,21,0,0,0,0,0.0,656,378,0,0,0.0,0.0,2022-05-22T15:00:00Z,0,20,0,0,0,0,38,0,829,1.0,3.0,0.0,0,19,58,39,40,True,0,,,,,
22,22,22,0,0,0,0,0.0,756,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,17,0,0,0,0,15,0,0,2.0,0.0,0.0,0,0,0,0,40,False,0,0.0,0.0,0.0,0.0,0.0
23,23,23,0,0,0,0,0.0,756,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,8,0,0,0,0,16,0,59,2.0,1.0,0.0,0,33,38,5,40,False,0,0.0,0.0,0.0,0.0,0.0
24,24,24,0,0,0,0,0.0,756,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,14,0,0,0,0,17,0,96,0.0,0.0,0.0,0,-9,22,31,40,True,0,0.0,0.0,0.0,0.0,0.0
