,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,11,0,0.0,186,2,3,0,1.8,18.2,2020-09-12T11:30:00Z,90,1,0,0,0,0,1,2,27465,3,0,0.0,1,0,0,0,45,True,0,,,,,
1,1,0,0,0,0,0.0,186,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,10,0,0,0,0,2,0,36857,3,4,0.0,0,324,4366,4042,45,False,0,,,,,
2,2,0,0,0,0,0.0,186,22,0,0,0.0,0.0,2020-09-28T16:45:00Z,0,2,0,0,0,0,3,0,32602,3,0,0.0,0,-4978,672,5650,45,True,0,,,,,
3,3,0,0,0,0,0.0,186,38,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,20,0,0,0,0,4,0,30371,0,1,0.0,0,-2901,252,3153,45,False,0,,,,,
4,4,0,0,0,0,0.0,186,46,0,0,0.0,0.0,2020-10-18T11:00:00Z,0,15,0,0,0,0,5,0,29331,1,1,0.0,0,-1890,1344,3234,44,False,0,,,,,
5,5,0,0,0,0,0.0,186,53,0,0,0.0,0.0,2020-10-24T14:00:00Z,0,6,0,0,0,0,6,0,28914,2,1,0.0,0,-774,1389,2163,44,True,0,,,,,
6,6,0,0,0,0,0.0,186,61,0,0,0.0,0.0,2020-11-02T17:30:00Z,0,18,0,0,0,0,7,0,28308,0,2,0.0,0,-836,707,1543,44,True,0,,,,,
7,7,0,0,0,0,0.0,186,78,0,0,0.0,0.0,2020-11-07T20:00:00Z,0,19,0,0,0,0,8,0,27713,0,1,0.0,0,-729,556,1285,44,False,0,,,,,
8,8,0,0,0,0,0.0,186,81,0,0,0.0,0.0,2020-11-22T12:00:00Z,0,7,0,0,0,0,9,0,26853,3,2,0.0,0,-980,366,1346,44,True,0,,,,,
9,9,0,0,0,0,0.0,186,94,0,0,0.0,0.0,2020-11-30T17:30:00Z,0,9,0,0,0,0,10,0,26288,2,1,0.0,0,-660,153,813,44,False,0,,,,,
10,10,0,0,0,0,0.0,186,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,12,0,0,0,0,11,0,25569,0,2,0.0,0,-784,232,1016,44,False,0,,,,,
11,11,0,0,0,0,0.0,186,112,0,0,0.0,0.0,2020-12-13T16:30:00Z,0,11,0,0,0,0,12,0,25361,1,1,0.0,0,-389,361,750,43,True,0,,,,,
12,12,0,0,0,0,0.0,186,121,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,3,0,0,0,0,13,0,25139,0,0,0.0,0,-293,273,566,43,True,0,,,,,
13,13,0,0,0,0,0.0,186,135,0,0,0.0,0.0,2020-12-19T20:00:00Z,0,14,0,0,0,0,14,0,24922,1,1,0.0,0,-294,289,583,43,False,0,,,,,
14,14,0,0,0,0,0.0,186,141,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,16,0,0,0,0,15,0,24848,0,0,0.0,0,-221,509,730,43,True,0,,,,,
15,15,0,0,0,0,0.0,186,157,0,0,0.0,0.0,2021-01-13T20:15:00Z,0,17,0,0,0,0,18,0,23887,1,1,0.0,0,-592,342,934,43,False,0,,,,,
16,16,0,0,0,0,0.0,186,181,0,0,0.0,0.0,2021-01-16T17:30:00Z,0,5,0,0,0,0,19,0,23303,1,0,0.0,0,-401,270,671,43,True,0,,,,,
17,17,0,0,0,0,0.0,186,171,0,0,0.0,0.0,2021-01-20T20:15:00Z,0,13,0,0,0,0,19,0,23303,2,1,0.0,0,-401,270,671,43,True,0,,,,,
18,18,0,0,0,0,0.0,186,189,0,0,0.0,0.0,2021-01-27T19:30:00Z,0,3,0,0,0,0,20,0,22966,0,0,0.0,0,-428,164,592,43,False,0,,,,,
19,19,0,0,0,0,0.0,186,207,0,0,0.0,0.0,2021-01-30T15:00:00Z,0,18,0,0,0,0,21,0,22787,2,2,0.0,0,-208,128,336,43,False,0,,,,,
20,20,0,0,0,0,0.0,186,211,0,0,0.0,0.0,2021-02-03T18:00:00Z,0,9,0,0,0,0,22,0,22578,2,0,0.0,0,-236,72,308,43,True,0,,,,,
21,21,0,0,0,0,0.0,186,221,0,0,0.0,0.0,2021-02-06T17:30:00Z,0,19,0,0,0,0,23,0,22339,0,0,0.0,0,-279,110,389,43,True,0,,,,,
22,22,0,0,0,0,0.0,186,233,0,0,0.0,0.0,2021-02-14T19:00:00Z,0,7,0,0,0,0,24,0,22037,2,0,0.0,0,-380,178,558,43,False,0,,,,,
23,23,0,0,0,0,0.0,186,160,0,0,0.0,0.0,2021-02-17T18:00:00Z,0,4,0,0,0,0,24,0,22037,1,1,0.0,0,-380,178,558,43,False,0,,,,,
24,24,0,0,0,0,0.0,186,243,0,0,0.0,0.0,2021-02-20T20:00:00Z,0,15,0,0,0,0,25,0,21906,0,1,0.0,0,-181,154,335,43,True,0,,,,,
25,25,0,0,0,0,0.0,186,250,0,0,0.0,0.0,2021-02-28T12:00:00Z,0,6,0,0,0,0,26,0,21546,0,0,0.0,0,-389,156,545,43,False,0,,,,,
26,26,0,0,0,0,0.0,186,321,0,0,0.0,0.0,2021-03-04T18:00:00Z,0,17,0,0,0,0,26,0,21546,1,0,0.0,0,-389,156,545,43,True,0,,,,,
27,27,0,0,0,0,0.0,186,263,0,0,0.0,0.0,2021-03-07T14:00:00Z,0,11,0,0,0,0,27,0,21415,1,0,0.0,0,-168,125,293,43,False,0,,,,,
28,28,0,0,0,0,0.0,186,272,0,0,0.0,0.0,2021-03-13T20:00:00Z,0,12,0,0,0,0,28,0,21256,3,0,0.0,0,-186,206,392,43,True,0,,,,,
29,29,0,0,0,0,0.0,186,282,0,0,0.0,0.0,2021-03-19T20:00:00Z,0,10,0,0,0,0,29,0,20818,2,1,0.0,0,-369,58,427,43,True,0,,,,,
30,30,0,0,0,0,0.0,186,290,0,0,0.0,0.0,2021-04-04T15:30:00Z,0,2,0,0,0,0,30,0,20725,1,3,0.0,0,-183,56,239,43,False,0,,,,,
31,31,0,0,0,0,0.0,186,302,0,0,0.0,0.0,2021-04-09T19:00:00Z,0,20,0,0,0,0,31,0,20598,1,0,0.0,0,-133,62,195,43,True,0,,,,,
32,32,0,0,0,0,0.0,186,309,0,0,0.0,0.0,2021-04-18T12:30:00Z,0,1,0,0,0,0,32,0,20487,1,1,0.0,0,-109,109,218,43,False,0,,,,,
33,33,0,0,0,0,0.0,186,331,0,0,0.0,0.0,2021-05-01T16:30:00Z,0,5,0,0,0,0,34,0,20260,0,2,0.0,0,-34,85,119,43,False,0,,,,,
34,34,0,0,0,0,0.0,186,341,0,0,0.0,0.0,2021-05-10T19:00:00Z,0,4,0,0,0,0,35,0,20127,2,0,0.0,0,-144,20,164,43,True,0,,,,,
35,35,0,0,0,0,0.0,186,357,0,0,0.0,0.0,2021-05-15T14:00:00Z,0,16,0,0,0,0,36,0,20157,1,3,0.0,0,22,91,69,43,False,0,,,,,
36,36,0,0,0,0,0.0,186,364,0,0,0.0,0.0,2021-05-18T17:00:00Z,0,13,0,0,0,0,37,0,20159,1,1,0.0,0,-13,79,92,43,False,0,,,,,
37,37,0,0,12,0,0.0,186,371,2,0,1.4,14.4,2021-05-23T15:00:00Z,90,14,0,0,0,0,38,2,20133,2,0,0.0,1,-36,181,217,43,True,0,,,,,
38,38,0,0,11,0,0.0,213,4,2,0,1.0,10.2,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,1,12206,2,2,0.0,1,0,0,0,45,True,0,0.0,0.0,0.0,1.23,1.0
39,39,0,0,22,1,0.0,213,20,0,0,0.9,8.8,2022-08-13T14:00:00Z,90,20,0,0,0,0,2,1,18003,0,0,0.0,6,693,2335,1642,45,False,0,0.0,0.0,0.0,0.89,1.0
40,40,0,0,0,0,0.0,213,24,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,4,0,0,0,0,3,0,24740,2,3,0.0,0,3471,5582,2111,45,True,0,0.0,0.0,0.0,0.0,0.0
41,41,0,0,0,0,0.0,213,31,0,0,0.0,0.0,2022-08-27T16:30:00Z,0,1,0,0,0,0,4,0,21225,1,2,0.0,0,-4240,467,4707,45,False,0,0.0,0.0,0.0,0.0,0.0
42,42,0,0,0,0,0.0,213,44,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,5,0,0,0,0,5,0,20972,1,2,0.0,0,-1312,619,1931,45,True,0,0.0,0.0,0.0,0.0,0.0
43,43,0,0,0,0,0.0,213,59,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,18,0,0,0,0,6,0,20032,1,2,0.0,0,-1813,239,2052,45,False,0,0.0,0.0,0.0,0.0,0.0
44,44,0,0,0,0,0.0,213,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,16,0,0,0,0,8,0,21241,3,2,0.0,0,146,971,825,44,False,0,0.0,0.0,0.0,0.0,0.0
45,45,0,0,0,0,0.0,213,84,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,15,0,0,0,0,9,0,20596,4,1,0.0,0,-468,641,1109,44,True,0,0.0,0.0,0.0,0.0,0.0
46,46,0,0,0,0,0.0,213,100,0,0,0.0,0.0,2022-10-09T13:00:00Z,0,19,0,0,0,0,10,0,20104,1,3,0.0,0,-680,337,1017,44,False,0,0.0,0.0,0.0,0.0,0.0
47,47,0,0,0,0,0.0,213,103,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,3,0,0,0,0,11,0,19943,2,2,0.0,0,-318,332,650,44,True,0,0.0,0.0,0.0,0.0,0.0
48,48,0,0,0,0,0.0,213,116,0,0,0.0,0.0,2022-10-20T18:30:00Z,0,2,0,0,0,0,12,0,19505,0,3,0.0,0,-474,151,625,44,True,0,0.0,0.0,0.0,0.0,0.0
49,49,0,0,0,0,0.0,213,124,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,11,0,0,0,0,13,0,19272,3,2,0.0,0,-397,154,551,44,False,0,0.0,0.0,0.0,0.0,0.0
50,50,0,0,0,0,0.0,213,136,0,0,0.0,0.0,2022-10-29T16:30:00Z,0,8,0,0,0,0,14,0,19062,0,0,0.0,0,-323,224,547,44,True,0,0.0,0.0,0.0,0.0,0.0
51,51,0,0,0,0,0.0,213,145,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,13,0,0,0,0,15,0,19095,1,2,0.0,0,-97,462,559,44,False,0,0.0,0.0,0.0,0.0,0.0
52,52,0,0,0,0,0.0,213,153,0,0,0.0,0.0,2022-11-13T16:30:00Z,0,14,0,0,0,0,16,0,18759,2,1,0.0,0,-447,232,679,43,True,0,0.0,0.0,0.0,0.0,0.0
53,53,0,0,0,0,0.0,213,165,0,0,0.0,0.0,2022-12-26T15:00:00Z,0,7,0,0,0,0,17,0,18645,3,0,0.0,0,-350,1136,1486,43,False,0,0.0,0.0,0.0,0.0,0.0
54,54,0,0,0,0,0.0,213,173,0,0,0.0,0.0,2022-12-31T15:00:00Z,0,17,0,0,0,0,18,0,18494,1,2,0.0,0,-249,212,461,43,True,0,0.0,0.0,0.0,0.0,0.0
55,55,0,0,0,0,0.0,213,188,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,10,0,0,0,0,19,0,18522,1,0,0.0,0,-21,303,324,43,False,0,0.0,0.0,0.0,0.0,0.0
56,56,0,0,0,0,0.0,213,64,0,0,0.0,0.0,2023-01-12T20:00:00Z,0,6,0,0,0,0,19,0,18522,1,2,0.0,0,-21,303,324,43,True,0,0.0,0.0,0.0,0.0,0.0
57,57,0,0,0,0,0.0,213,197,0,0,0.0,0.0,2023-01-15T14:00:00Z,0,15,0,0,0,0,20,0,18402,0,1,0.0,0,-204,220,424,43,False,0,0.0,0.0,0.0,0.0,0.0
58,58,0,0,0,0,0.0,213,204,0,0,0.0,0.0,2023-01-23T20:15:00Z,0,18,0,0,0,0,21,0,18370,1,0,0.0,0,-114,171,285,43,True,0,0.0,0.0,0.0,0.0,0.0
59,59,0,0,0,0,0.0,213,214,0,0,0.0,0.0,2023-02-03T20:00:00Z,0,6,0,0,0,0,22,0,18405,0,0,0.0,0,-82,316,398,43,False,0,0.0,0.0,0.0,0.0,0.0
60,60,0,0,0,0,0.0,213,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,16,0,0,0,0,23,0,18397,0,2,0.0,0,-99,275,374,43,True,0,0.0,0.0,0.0,0.0,0.0
61,61,0,0,0,0,0.0,213,233,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,5,0,0,0,0,24,0,18486,1,0,0.0,0,49,326,277,43,False,0,0.0,0.0,0.0,0.0,0.0
62,62,0,0,0,0,0.0,213,244,0,0,0.0,0.0,2023-02-24T20:00:00Z,0,20,0,0,0,0,25,0,18604,1,1,0.0,0,-101,360,461,43,True,0,0.0,0.0,0.0,0.0,0.0
63,63,0,0,0,0,0.0,213,253,0,0,0.0,0.0,2023-03-06T20:00:00Z,0,4,0,0,0,0,26,0,18341,2,3,0.0,0,-170,137,307,43,False,0,0.0,0.0,0.0,0.0,0.0
