,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position
0,0,0,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2022-08-06T14:00:00Z,0,15,0,0,0,0,1,0,23682,0,0,2,0.0,0,0,0,0,40,False,0,2
1,1,1,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,18,0,0,0.0,0.0,2022-08-14T13:00:00Z,0,19,0,0,0,0,2,0,18221,0,0,1,0.0,0,-5247,0,5247,40,True,0,2
2,2,2,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,23,0,0,0.0,0.0,2022-08-20T14:00:00Z,0,8,0,0,0,0,3,0,15263,0,1,1,0.0,0,-3056,0,3056,40,False,0,2
3,3,3,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2022-08-28T15:30:00Z,0,18,0,0,0,0,4,0,13643,0,2,0,0.0,0,-1709,0,1709,40,True,0,2
4,4,4,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,13,0,0,0,0,5,0,12508,0,0,6,0.0,0,-1175,0,1175,40,False,0,2
5,5,5,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2022-09-03T14:00:00Z,0,3,0,0,0,0,6,0,11317,0,3,2,0.0,0,-1177,0,1177,40,True,0,2
6,6,6,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,78,0,0,0.0,0.0,2022-09-16T19:00:00Z,0,9,0,0,0,0,8,0,10161,0,3,2,0.0,0,-437,0,437,40,True,0,2
7,7,7,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2022-10-03T19:00:00Z,0,10,0,0,0,0,9,0,9760,0,0,4,0.0,0,-556,0,556,40,False,0,2
8,8,8,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10T19:00:00Z,0,2,0,0,0,0,10,0,9320,0,1,1,0.0,0,-441,0,441,40,True,0,2
9,9,9,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,110,0,0,0.0,0.0,2022-10-15T14:00:00Z,0,20,0,0,0,0,11,0,8978,0,0,1,0.0,0,-337,0,337,40,False,0,2
10,10,10,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,114,0,0,0.0,0.0,2022-10-18T18:30:00Z,0,5,0,0,0,0,12,0,8493,0,0,0,0.0,0,-339,0,339,40,False,0,2
11,11,11,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,126,0,0,0.0,0.0,2022-10-22T11:30:00Z,0,12,0,0,0,0,13,0,8439,0,0,1,0.0,0,-237,0,237,40,True,0,2
12,12,12,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,1,0,0,0,0,14,0,8203,0,0,5,0.0,0,-227,0,227,40,False,0,2
13,13,13,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,4,0,0,0,0,15,0,7953,0,2,2,0.0,0,-252,0,252,40,True,0,2
14,14,14,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,157,0,0,0.0,0.0,2022-11-12T15:00:00Z,0,7,0,0,0,0,16,0,7724,0,0,1,0.0,0,-232,0,232,40,True,0,2
15,15,15,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2022-12-27T20:00:00Z,0,14,0,0,0,0,17,0,6894,0,0,3,0.0,0,-838,0,838,40,False,0,2
16,16,16,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-01-01T16:30:00Z,0,6,0,0,0,0,18,0,6817,0,1,1,0.0,0,-81,0,81,40,True,0,2
17,17,17,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-01-04T19:30:00Z,0,17,0,0,0,0,19,0,6761,0,1,0,0.0,0,-56,0,56,40,False,0,2
18,18,18,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,198,0,0,0.0,0.0,2023-01-14T15:00:00Z,0,10,0,0,0,0,20,0,6647,0,0,2,0.0,0,-107,0,107,40,True,0,2
19,19,19,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,6580,0,1,1,0.0,0,-72,0,72,40,False,0,2
20,20,20,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,218,0,0,0.0,0.0,2023-02-05T14:00:00Z,0,11,0,0,0,0,22,0,6445,0,0,1,0.0,0,-136,0,136,40,True,0,2
21,21,21,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,224,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,9,0,0,0,0,23,0,6370,0,0,2,0.0,0,-73,0,73,40,False,0,2
22,22,22,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,238,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,13,0,0,0,0,24,0,6316,0,1,1,0.0,0,-61,0,61,40,True,0,2
23,23,23,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,19,0,0,0,0,25,0,6214,0,0,4,0.0,0,-74,0,74,40,False,0,2
24,24,24,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,258,0,0,0.0,0.0,2023-03-05T14:00:00Z,0,8,0,0,0,0,26,0,6202,0,2,2,0.0,0,-41,0,41,40,True,0,2
25,25,25,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,269,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,18,0,0,0,0,27,0,6148,0,1,3,0.0,0,-55,0,55,40,False,0,2
26,26,26,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,278,0,0,0.0,0.0,2023-03-17T20:00:00Z,0,15,0,0,0,0,28,0,6099,0,2,1,0.0,0,-44,0,44,40,True,0,2
27,27,27,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,20,0,0,0,0,29,0,6039,0,1,1,0.0,0,-62,0,62,40,True,0,2
28,28,28,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,11,0,0,0,0,29,0,6039,0,1,2,0.0,0,-62,0,62,40,False,0,2
29,29,29,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,291,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,2,0,0,0,0,30,0,6011,0,0,2,0.0,0,-33,0,33,40,False,0,2
30,30,30,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,306,0,0,0.0,0.0,2023-04-16T15:30:00Z,0,14,0,0,0,0,31,0,5984,0,2,0,0.0,0,-25,0,25,40,True,0,2
31,31,31,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,318,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,12,0,0,0,0,32,0,5963,0,2,3,0.0,0,-21,0,21,40,False,0,2
32,32,32,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,324,0,0,0.0,0.0,2023-04-26T18:30:00Z,0,5,0,0,0,0,33,0,5942,0,1,3,0.0,0,-24,0,24,40,True,0,2
33,33,33,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,4,0,0,0,0,34,0,5906,0,1,2,0.0,0,-35,0,35,40,False,0,2
34,34,34,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,347,0,0,0.0,0.0,2023-05-08T19:00:00Z,0,17,0,0,0,0,35,0,5879,0,3,4,0.0,0,-25,0,25,40,True,0,2
35,35,35,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,354,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,6,0,0,0,0,36,0,5856,0,2,2,0.0,0,-20,0,20,40,False,0,2
36,36,36,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,367,0,0,0.0,0.0,2023-05-20T16:30:00Z,0,1,0,0,0,0,37,0,5829,0,0,1,0.0,0,-27,0,27,40,True,0,2
37,37,37,0,0,0,0,0.0,386,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,7,0,0,0,0,38,0,5797,0,1,1,0.0,0,-35,0,35,40,False,0,2
38,38,38,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,12278,0,1,2,0.0,0,0,0,0,40,False,0,2
39,39,39,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,13429,0,1,2,0.0,0,-1014,397,1411,40,True,0,2
40,40,40,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,14,0,0,0,0,3,0,12949,0,2,3,0.0,0,-1156,328,1484,40,False,0,2
41,41,41,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,7,0,0,0,0,4,0,10966,0,1,0,0.0,0,-2137,71,2208,40,False,0,2
42,42,42,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,6,0,0,0,0,5,0,9435,0,1,1,0.0,0,-1581,0,1581,40,True,0,2
43,43,43,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,13,0,0,0,0,6,0,8684,0,0,2,0.0,0,-786,0,786,40,False,0,2
44,44,44,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,67,0,0,0.0,0.0,2023-10-01T13:00:00Z,0,4,0,0,0,0,7,0,7961,0,1,1,0.0,0,-705,0,705,40,True,0,2
45,45,45,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,8,0,0,0,0,8,0,7492,0,0,0,0.0,0,-496,0,496,40,False,0,2
46,46,46,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,7191,0,2,2,0.0,0,-318,0,318,40,True,0,2
47,47,47,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,97,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,11,0,0,0,0,10,0,6927,0,0,3,0.0,0,-262,0,262,40,False,0,2
48,48,48,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2023-11-05T14:00:00Z,0,2,0,0,0,0,11,0,6698,0,0,2,0.0,0,-231,0,231,40,True,0,2
49,49,49,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,19,0,0,0,0,12,0,6496,0,2,3,0.0,0,-203,0,203,40,False,0,2
50,50,50,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,128,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,5,0,0,0,0,13,0,6323,0,3,2,0.0,0,-168,0,168,40,True,0,2
51,51,51,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,139,0,0,0.0,0.0,2023-12-02T17:30:00Z,0,9,0,0,0,0,14,0,6236,0,1,0,0.0,0,-98,0,98,40,True,0,2
52,52,52,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,10,0,0,0,0,15,0,6168,0,0,5,0.0,0,-70,0,70,40,False,0,2
53,53,53,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,160,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,20,0,0,0,0,16,0,6090,0,1,1,0.0,0,-77,0,77,40,False,0,2
54,54,54,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,169,0,0,0.0,0.0,2023-12-15T20:00:00Z,0,18,0,0,0,0,17,0,5970,0,2,0,0.0,0,-113,0,113,40,True,0,2
55,55,55,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,177,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,3,0,0,0,0,18,0,5894,0,3,2,0.0,0,-79,0,79,40,True,0,2
56,56,56,0,0,0,0,0.0,444,0.0,0.0,0.0,0.0,189,0,0,0.0,0.0,2023-12-26T12:30:00Z,0,15,0,0,0,0,19,0,5839,0,3,1,0.0,0,-62,0,62,40,False,0,2
57,57,57,0,0,0,0,0.0,592,0.0,0.0,0.0,0.0,196,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,13,0,0,0,0,20,0,4912,0,0,2,0.0,0,-76,40,116,43,False,0,2
58,58,58,0,0,0,0,0.0,592,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,12,0,0,0,0,19,0,4976,0,3,2,0.0,0,44,120,76,43,True,0,2
59,59,59,0,0,4,0,0.1,592,0.0,0.0,0.0,0.44,171,0,0,1.6,16.2,2023-12-22T20:00:00Z,57,2,0,0,0,0,18,0,4883,1,1,1,0.0,0,-43,30,73,43,False,1,2
60,60,60,0,0,0,0,0.0,592,0.0,0.0,0.0,0.0,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,7,0,0,0,0,17,0,4900,0,0,2,0.0,0,-48,32,80,43,False,0,2
61,61,61,0,0,0,0,0.0,592,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,4,0,0,0,0,16,0,4916,0,0,1,0.0,0,-39,23,62,43,True,0,2
