,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,2,0,0.7,725,0.0,0.03,0.03,0.0,216,0,0,0.5,0.0,2023-02-04T15:00:00Z,8,14,0,0,0,0,22,0,52,0,1.0,2.0,6.0,1,40,41,1,45,False,0
1,1,0,0,3,0,0.1,725,0.0,0.0,0.0,0.21,223,0,0,0.2,1.4,2023-02-11T15:00:00Z,6,5,0,0,0,0,23,0,148,0,1.0,1.0,0.0,1,58,73,15,45,True,0
2,2,0,0,1,0,0.4,725,0.0,0.07,0.07,0.38,232,1,0,0.3,0.0,2023-02-18T15:00:00Z,10,4,0,0,0,0,24,0,219,0,1.0,1.0,4.0,1,53,76,23,45,False,0
3,3,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,242,0,0,0.0,0.0,2023-02-25T19:45:00Z,0,12,0,0,0,0,25,0,493,0,0.0,0.0,0.0,0,77,143,66,45,True,0
4,4,0,0,1,0,0.2,725,0.0,0.0,0.0,0.11,252,0,0,0.0,0.2,2023-03-04T15:00:00Z,15,2,0,0,0,0,26,0,352,0,0.0,1.0,0.0,0,13,66,53,45,False,1
5,5,0,0,6,0,10.3,725,0.01,0.01,0.0,0.98,262,1,0,1.6,5.8,2023-03-11T17:30:00Z,29,13,0,0,0,0,27,0,411,0,1.0,0.0,0.0,1,20,80,60,45,True,0
6,6,0,0,2,0,1.5,725,0.01,0.06,0.05,0.1,73,0,0,0.4,0.0,2023-03-15T19:30:00Z,10,5,0,0,0,0,27,0,411,0,0.0,1.0,4.0,1,20,80,60,45,False,0
7,7,0,0,3,0,0.0,725,0.0,0.0,0.0,0.05,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,8,1,0,0,0,0,28,0,556,0,1.0,4.0,0.0,1,42,80,38,45,False,0
8,8,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,10,0,0,0,0,29,0,496,0,1.0,2.0,0.0,0,0,69,69,45,True,0
9,9,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,294,0,0,0.0,0.0,2023-04-09T13:00:00Z,0,11,0,0,0,0,30,0,530,0,5.0,1.0,0.0,0,17,54,37,45,False,0
10,10,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,307,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,17,0,0,0,0,31,0,606,0,2.0,0.0,0.0,0,51,89,38,45,False,0
11,11,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,315,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,8,0,0,0,0,32,0,641,0,0.0,0.0,0.0,0,0,54,54,45,True,0
12,12,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,327,0,0,0.0,0.0,2023-04-25T18:30:00Z,0,20,0,0,0,0,33,0,611,0,0.0,2.0,0.0,0,-7,35,42,45,False,0
13,13,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,335,0,0,0.0,0.0,2023-04-29T11:30:00Z,0,19,0,0,0,0,34,0,605,0,3.0,4.0,0.0,0,-20,29,49,45,True,0
14,14,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,348,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,18,0,0,0,0,35,0,590,0,0.0,1.0,0.0,0,-23,29,52,45,False,0
15,15,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,355,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,3,0,0,0,0,36,0,554,0,0.0,2.0,0.0,0,-35,4,39,45,True,0
16,16,0,0,0,0,0.0,725,0.0,0.0,0.0,0.0,363,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,9,0,0,0,0,37,0,594,0,2.0,2.0,0.0,0,18,42,24,45,False,0
17,17,0,0,2,0,0.0,725,0.0,0.0,0.0,0.0,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,1,16,0,0,0,0,38,0,609,0,1.0,1.0,0.0,1,9,35,26,45,True,0
18,18,0,0,0,0,0.0,219,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,23700,0,1.0,0.0,0.0,0,0,0,0,45,False,0
19,19,0,0,6,0,2.6,219,0.02,0.02,0.0,0.0,12,0,0,0.7,4.4,2023-08-21T19:00:00Z,16,1,0,0,0,0,2,0,23579,0,1.0,0.0,0.0,1,-1429,846,2275,45,True,0
20,20,0,0,3,0,0.7,219,0.0,0.0,0.0,0.45,23,0,0,0.1,0.4,2023-08-26T14:00:00Z,19,4,0,0,0,0,3,0,21227,0,1.0,1.0,0.0,1,-2703,588,3291,45,False,0
21,21,0,0,0,0,0.0,219,0.0,0.0,0.0,0.0,36,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,20,0,0,0,0,4,0,19831,0,2.0,3.0,0.0,0,-1798,1018,2816,44,True,0
22,22,0,0,3,0,1.0,219,0.0,0.0,0.0,1.43,41,2,0,0.2,1.2,2023-09-16T14:00:00Z,1,2,0,0,0,0,5,0,19546,0,1.0,3.0,0.0,1,-721,1453,2174,44,False,0
23,23,0,0,0,0,0.0,219,0.0,0.0,0.0,0.0,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,10,0,0,0,0,6,0,17877,0,0.0,0.0,0.0,0,-1703,360,2063,44,True,0
24,24,0,0,0,0,0.0,219,0.0,0.0,0.0,0.0,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,14,0,0,0,0,7,0,14629,0,1.0,0.0,0.0,0,-3135,55,3190,44,False,0
