,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,2,0,0.3,708,0.0,0.0,0.0,0.0,50,0,0,1.1,4.2,2023-09-16T11:30:00Z,1,20,0,0,0,0,5,0,2270,0,3.0,1.0,6.0,1,1745,2030,285,50,False,0
1,1,0,0,4,0,0.6,708,0.0,0.0,0.0,0.04,57,0,0,0.8,3.8,2023-09-24T13:00:00Z,13,19,0,0,0,0,6,0,3530,0,1.0,3.0,4.0,1,1039,1565,526,50,True,0
2,2,0,0,2,0,0.0,708,0.0,0.0,0.0,0.16,68,1,0,0.0,0.2,2023-09-30T16:30:00Z,10,18,0,0,0,0,7,0,4291,0,1.0,2.0,0.0,1,568,1463,895,50,False,0
3,3,0,0,0,0,2.0,708,0.01,0.79,0.78,1.66,72,1,0,3.4,6.4,2023-10-08T13:00:00Z,45,5,0,0,0,0,8,0,6897,0,2.0,2.0,26.0,1,2201,3348,1147,50,False,0
4,4,0,0,19,1,14.1,708,0.05,0.1,0.05,0.1,85,0,0,3.5,10.0,2023-10-21T11:30:00Z,61,9,0,0,0,0,9,0,9123,1,0.0,2.0,11.0,3,1998,3416,1418,50,True,0
5,5,0,0,1,0,2.8,708,0.02,0.04,0.02,0.13,97,0,0,1.7,5.4,2023-10-29T14:00:00Z,58,16,0,0,0,0,10,0,11929,1,0.0,3.0,9.0,1,2585,4217,1632,50,True,0
6,6,0,0,19,0,24.3,708,0.08,0.1,0.02,0.79,105,1,0,5.2,14.2,2023-11-05T16:30:00Z,82,12,0,0,0,0,11,0,16614,1,1.0,1.0,13.0,2,4384,6350,1966,50,False,0
7,7,0,0,0,0,0.0,708,0.0,0.0,0.0,0.0,117,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,4,0,0,0,0,12,0,13208,0,0.0,3.0,0.0,0,-3167,1164,4331,50,True,0
8,8,0,0,4,0,14.1,708,0.17,0.17,0.0,0.79,126,0,0,2.4,10.0,2023-11-25T12:30:00Z,36,13,0,0,0,0,13,0,10449,0,1.0,1.0,0.0,1,-2873,343,3216,50,False,0
9,9,0,0,6,0,13.6,708,0.11,0.15,0.04,1.22,136,3,0,3.6,10.0,2023-12-03T14:00:00Z,82,10,0,0,0,0,14,0,10764,1,3.0,4.0,12.0,2,-2,1114,1116,50,True,0
10,10,0,0,3,0,0.3,708,0.0,0.0,0.0,0.41,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,4,17,0,0,0,0,15,0,10938,0,2.0,0.0,0.0,1,89,1009,920,50,False,0
11,11,0,0,1,0,2.9,708,0.03,0.05,0.02,0.53,153,0,0,1.1,0.0,2023-12-09T12:30:00Z,56,8,0,0,0,0,16,0,10241,1,2.0,1.0,9.0,1,-771,582,1353,50,False,0
12,12,0,0,8,1,23.2,708,0.03,0.46,0.43,0.27,166,0,0,3.8,3.8,2023-12-17T16:30:00Z,60,14,0,0,0,0,17,0,9407,1,0.0,0.0,11.0,3,-902,490,1392,50,True,0
13,13,0,0,-1,0,0.8,708,0.01,0.01,0.0,0.09,174,0,0,0.5,4.2,2023-12-23T17:30:00Z,22,1,0,0,0,0,18,0,8261,0,1.0,1.0,0.0,1,-1177,179,1356,50,True,0
14,14,0,0,9,1,14.3,708,0.17,0.23,0.06,0.44,185,0,0,4.5,7.6,2023-12-26T17:30:00Z,65,6,0,0,0,0,19,0,8425,1,2.0,0.0,23.0,3,-20,561,581,50,False,0
15,15,0,0,0,0,0.0,412,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,11,0,0,0,0,20,0,2109550,0,,,0.0,0,-488433,39936,528369,61,False,0
16,16,0,0,-5,0,4.0,412,0.09,0.5,0.41,3.46,189,3,0,3.8,0.4,2023-12-26T12:30:00Z,90,16,0,0,0,0,19,0,2613221,1,3.0,1.0,34.0,1,125378,203241,77863,62,True,1
17,17,0,0,11,0,20.4,412,0.15,0.27,0.12,1.88,175,1,0,3.6,5.2,2023-12-23T15:00:00Z,90,12,0,0,0,0,18,0,2461200,1,0.0,1.0,10.0,2,24357,164617,140260,62,False,0
18,18,1,0,26,1,60.7,412,0.33,0.64,0.31,0.2,168,0,0,13.1,33.0,2023-12-16T15:00:00Z,83,10,0,0,0,0,17,0,2420401,1,0.0,3.0,37.0,6,45401,246262,200861,62,True,0
19,19,0,0,7,0,23.3,412,0.09,0.14,0.05,2.44,159,3,0,3.6,4.0,2023-12-10T16:30:00Z,73,18,0,0,0,0,16,0,2398709,1,1.0,4.0,9.0,2,342696,394994,52298,61,False,0
20,20,0,0,1,0,13.9,412,0.02,0.35,0.33,3.23,144,3,0,4.6,3.0,2023-12-07T19:30:00Z,90,9,0,0,0,0,15,0,2055702,1,0.0,3.0,29.0,2,340319,382022,41703,60,False,0
