,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,10,0,0.1,575,0.01,0.01,0.0,4.1,4,4,0,1.4,13.6,2023-08-12T14:00:00Z,90,5,0,0,0,0,1,0,16518,1,1,4,0.0,0,0,0,0,45,False,0
1,1,1,0,0,10,0,0.4,575,0.01,0.01,0.0,2.09,26,3,0,2.7,25.0,2023-08-25T19:00:00Z,90,7,0,0,0,0,3,0,14963,1,0,3,2.0,0,-1176,403,1579,45,False,1
2,2,2,0,0,0,0,0.0,575,0.0,0.0,0.0,0.0,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,14118,0,2,1,0.0,0,-1230,453,1683,44,True,0
3,3,3,0,0,6,0,0.0,575,0.0,0.28,0.28,0.98,44,1,0,1.4,10.4,2023-09-16T14:00:00Z,90,10,0,0,0,0,5,0,12053,1,0,1,4.0,2,-2127,138,2265,44,False,0
4,4,4,0,1,17,0,11.7,575,0.03,0.03,0.0,0.59,58,1,0,3.0,14.4,2023-09-23T14:00:00Z,90,20,0,0,0,0,6,0,12288,1,1,1,4.0,3,76,723,647,43,True,0
5,5,5,0,0,15,0,0.0,575,0.0,0.47,0.47,2.3,63,1,1,8.0,41.0,2023-09-30T14:00:00Z,55,9,0,0,0,0,7,0,14506,1,2,1,39.0,7,1838,2898,1060,43,False,0
6,6,6,0,0,10,0,1.0,575,0.01,0.09,0.08,1.04,15,2,0,2.5,15.0,2023-10-03T18:30:00Z,90,6,0,0,0,0,7,0,14506,1,2,1,9.0,1,1838,2898,1060,43,True,0
7,7,7,0,0,7,0,0.1,575,0.0,0.0,0.0,1.99,77,1,0,1.4,11.4,2023-10-07T11:30:00Z,80,18,0,0,0,0,8,0,21986,1,1,0,2.0,1,6836,9315,2479,43,True,1
8,8,8,1,0,22,0,11.0,575,0.03,0.03,0.0,2.97,88,2,0,4.2,30.8,2023-10-21T14:00:00Z,90,16,0,0,0,0,9,0,23193,1,2,2,0.0,4,1419,3732,2313,43,False,0
9,9,9,0,0,10,0,0.7,575,0.1,0.1,0.0,2.39,92,3,0,1.1,6.4,2023-10-29T14:00:00Z,90,2,1,0,0,0,10,0,26802,1,1,3,4.0,-1,3300,5328,2028,43,False,0
