,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,2,0,0.3,321,0.02,0.02,0.0,2.55,4,3,0,0.1,1.0,2023-08-12T14:00:00Z,26,5,0,0,0,0,1,0,15179,0,1.0,4.0,0.0,0,0,0,0,45,False,0
1,0,0,2,0,0.5,321,0.09,0.09,0.0,0.57,26,1,0,0.5,2.4,2023-08-25T19:00:00Z,20,7,0,0,0,0,3,0,13058,0,0.0,3.0,2.0,1,-1295,360,1655,45,False,0
2,0,0,9,0,16.5,321,0.08,0.1,0.02,0.86,38,1,0,3.9,16.2,2023-09-01T19:00:00Z,77,19,0,0,0,0,4,0,12293,1,2.0,1.0,6.0,2,-1056,390,1446,44,True,0
3,0,0,2,0,0.3,321,0.22,0.22,0.0,0.05,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,16,10,0,0,0,0,5,0,11274,0,0.0,1.0,0.0,1,-1163,584,1747,44,False,0
4,0,1,17,0,77.4,321,0.29,0.37,0.08,0.59,58,1,0,11.3,13.4,2023-09-23T14:00:00Z,71,20,0,0,0,0,6,0,11031,1,1.0,1.0,22.0,3,-339,465,804,44,True,0
5,1,3,31,0,81.5,321,0.19,0.19,0.0,2.77,63,1,0,12.3,37.6,2023-09-30T14:00:00Z,82,9,0,0,0,0,7,0,17867,1,2.0,1.0,4.0,8,5703,6856,1153,44,False,0
6,0,0,14,0,100.3,321,0.34,0.36,0.02,1.04,15,2,0,12.5,18.8,2023-10-03T18:30:00Z,90,6,0,0,0,0,7,0,17867,1,2.0,1.0,6.0,1,5703,6856,1153,44,True,0
7,0,0,10,0,28.8,321,0.15,0.32,0.17,1.99,77,1,0,5.9,15.6,2023-10-07T11:30:00Z,90,18,0,0,0,0,8,0,23072,1,1.0,0.0,15.0,2,5390,8293,2903,44,True,0
8,0,0,15,0,10.5,321,0.1,0.13,0.03,2.97,88,2,0,2.4,11.8,2023-10-21T14:00:00Z,90,16,0,0,0,0,9,0,26325,1,2.0,2.0,2.0,1,2984,6388,3404,44,False,0
9,0,0,6,0,21.0,321,0.03,0.03,0.0,2.12,92,3,0,3.1,7.6,2023-10-29T14:00:00Z,78,2,0,0,0,0,10,0,26507,1,1.0,3.0,2.0,0,270,3232,2962,44,False,1
10,0,0,16,0,19.1,321,0.02,0.02,0.0,3.04,105,1,0,3.7,18.2,2023-11-05T16:30:00Z,90,11,0,0,0,0,11,0,24821,1,1.0,1.0,0.0,2,-1690,920,2610,44,True,0
11,0,0,10,0,15.4,321,0.02,0.02,0.0,1.82,118,1,0,2.7,11.2,2023-11-11T15:00:00Z,72,14,0,0,0,0,12,0,24977,1,0.0,1.0,0.0,2,-11,1495,1506,44,False,0
12,0,0,9,0,20.8,321,0.1,0.1,0.0,0.58,125,1,0,4.0,11.6,2023-11-25T15:00:00Z,78,8,0,0,0,0,13,0,24035,1,1.0,2.0,8.0,2,-989,1819,2808,44,True,0
13,0,0,0,0,0.0,321,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,4,0,0,0,0,14,0,25032,0,1.0,3.0,0.0,0,680,2323,1643,44,False,0
14,2,1,30,0,28.8,321,0.29,0.29,0.0,2.35,146,3,0,7.9,48.0,2023-12-05T20:15:00Z,87,1,0,0,0,0,15,0,22199,1,4.0,3.0,2.0,8,-2765,279,3044,44,True,0
15,0,0,4,0,1.3,321,0.01,0.01,0.0,1.6,156,2,0,1.7,11.2,2023-12-10T14:00:00Z,90,13,0,0,0,0,16,0,23549,1,2.0,1.0,4.0,0,1099,2575,1476,44,True,1
16,0,3,30,1,34.9,321,0.18,0.18,0.0,1.68,175,0,0,5.5,14.2,2023-12-23T15:00:00Z,90,15,0,0,0,0,18,0,26270,1,0.0,1.0,6.0,9,-1214,1824,3038,44,True,0
17,0,0,24,0,20.3,321,0.06,0.17,0.11,2.46,190,2,1,9.1,43.0,2023-12-26T15:00:00Z,78,17,0,0,0,0,19,0,56063,1,3.0,2.0,28.0,7,27917,29237,1320,44,False,0
18,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,11,0,0,0,0,20,0,641659,0,,,0.0,0,-71584,5959,77543,53,False,0
19,0,0,13,0,18.0,427,0.18,0.23,0.05,3.46,189,3,0,3.8,15.0,2023-12-26T12:30:00Z,90,16,0,0,0,0,19,0,714327,1,3.0,1.0,5.0,0,-10108,20779,30887,53,True,1
20,0,0,13,0,2.9,427,0.16,0.18,0.02,1.88,175,1,0,1.9,9.8,2023-12-23T15:00:00Z,90,12,0,0,0,0,18,0,705869,1,0.0,1.0,6.0,2,-147454,7158,154612,53,False,0
21,0,0,2,0,0.3,427,0.00,0.01,0.01,0.03,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,13,10,0,0,0,0,17,0,873400,1,0.0,3.0,1.0,1,43694,73292,29598,53,True,0
22,0,0,16,0,0.5,427,0.01,0.01,0.00,3.88,159,4,0,2.3,22.8,2023-12-10T16:30:00Z,90,18,0,0,0,0,16,0,819509,1,1.0,4.0,0.0,0,-6039,25276,31315,53,False,0
23,0,0,15,0,1.2,427,0.01,0.02,0.01,3.23,144,3,0,4.6,42.8,2023-12-07T19:30:00Z,90,9,0,0,0,0,15,0,826590,1,0.0,3.0,2.0,1,43995,60601,16606,53,False,0
24,0,0,21,1,4.9,427,0.22,0.39,0.17,0.36,138,0,0,3.2,10.2,2023-12-02T20:00:00Z,90,14,0,0,0,0,14,0,778160,1,0.0,1.0,17.0,6,-8508,28625,37133,52,True,0
25,0,0,15,0,10.6,427,0.01,0.06,0.05,0.58,127,1,0,4.0,20.6,2023-11-25T15:00:00Z,90,7,0,0,0,0,13,0,784508,1,1.0,4.0,9.0,2,14516,55777,41261,52,True,0
26,0,0,12,0,1.3,427,0.01,0.04,0.03,2.49,113,2,0,1.8,15.2,2023-11-11T17:30:00Z,90,3,0,0,0,0,12,0,775809,1,0.0,2.0,1.0,1,140239,159128,18889,52,False,0
27,0,0,20,1,0.7,427,0.01,0.03,0.02,0.56,107,0,0,1.2,9.0,2023-11-04T17:30:00Z,90,1,0,0,0,0,11,0,616893,1,0.0,1.0,2.0,5,-67299,16771,84070,52,True,1
28,1,1,33,0,4.3,427,0.25,0.34,0.09,0.98,100,2,0,4.6,24.4,2023-10-28T16:30:00Z,90,20,0,0,0,0,10,0,685070,1,2.0,2.0,17.0,5,8967,53725,44758,52,False,0
29,0,1,30,1,11.6,427,0.08,0.08,0.00,1.21,87,0,0,3.4,22.8,2023-10-21T14:00:00Z,90,8,0,0,0,0,9,0,675016,1,0.0,4.0,0.0,7,46976,82767,35791,52,True,0
30,0,0,17,0,0.7,427,0.00,0.00,0.00,1.22,79,2,0,2.3,22.6,2023-10-08T13:00:00Z,90,19,0,0,0,0,8,0,624960,1,2.0,2.0,0.0,1,111911,178174,66263,51,False,0
31,0,1,27,1,0.8,427,0.01,0.34,0.33,0.65,66,0,0,2.5,10.0,2023-09-30T14:00:00Z,90,6,0,0,0,0,7,0,516125,1,0.0,2.0,14.0,7,132709,164221,31512,51,True,0
32,0,0,26,1,4.3,427,0.01,0.03,0.02,0.94,60,0,0,2.6,13.6,2023-09-24T15:30:00Z,90,17,0,0,0,0,6,0,365956,1,8.0,0.0,8.0,6,87585,105122,17537,50,False,0
